pulumi_version,ec2_size,region,patch,resource_count,resource_payload_bytes,up_sec,errors
v3.44.1,m6i.large,ap-south-1,true,4,25165824,68.92,none
v3.44.1,m6i.large,ap-south-1,true,4,16777216,53.29,none
v3.44.1,m6i.large,ap-south-1,true,16,8388608,182.58,none
v3.44.1,m6i.large,ap-south-1,false,12,8388608,161.49,none
v3.44.1,m6i.large,ap-south-1,false,16,25165824,,none
v3.44.1,m6i.large,ap-south-1,false,8,16777216,153.35,none
v3.44.1,m6i.large,ap-south-1,true,20,16777216,544.64,none
v3.44.1,m6i.large,ap-south-1,true,16,25165824,717.74,none
v3.44.1,m6i.large,ap-south-1,true,8,25165824,226.24,none
v3.44.1,m6i.large,ap-south-1,false,8,8388608,87.1,none
v3.44.1,m6i.large,ap-south-1,false,8,25165824,280.23,none
v3.44.1,m6i.large,ap-south-1,false,4,16777216,61.62,none
v3.44.1,m6i.large,ap-south-1,true,12,8388608,120.62,none
v3.44.1,m6i.large,ap-south-1,false,12,16777216,326.93,none
v3.44.1,m6i.large,ap-south-1,true,12,16777216,237.48,none
v3.44.1,m6i.large,ap-south-1,true,16,16777216,417.19,none
v3.44.1,m6i.large,ap-south-1,false,20,8388608,363.11,none
v3.44.1,m6i.large,ap-south-1,false,4,8388608,36.56,none
v3.44.1,m6i.large,ap-south-1,false,16,8388608,266.96,none
v3.44.1,m6i.large,ap-south-1,false,20,16777216,1200.05,none
v3.44.1,m6i.large,ap-south-1,true,20,8388608,241.78,none
v3.44.1,m6i.large,ap-south-1,false,16,16777216,685.35,none
v3.44.1,m6i.large,ap-south-1,true,4,8388608,32.92,none
v3.44.1,m6i.large,ap-south-1,false,12,25165824,690.34,none
v3.44.1,m6i.large,ap-south-1,true,8,8388608,72.69,none
v3.44.1,m6i.large,ap-south-1,false,4,25165824,89.22,none
v3.44.1,m6i.large,ap-south-1,true,8,16777216,117.75999999999999,none
v3.44.1,m6i.large,ap-south-1,true,12,25165824,417.65999999999997,none
v3.44.1,m6i.large,eu-central-1,true,16,8192,16.44,none
v3.44.1,m6i.large,eu-central-1,false,64,131072,124.0,none
v3.44.1,m6i.large,eu-central-1,true,32,32768,32.75,none
v3.44.1,m6i.large,eu-central-1,true,1,32768,6.42,none
v3.44.1,m6i.large,eu-central-1,false,1,8192,5.92,none
v3.44.1,m6i.large,eu-central-1,false,2,8192,6.97,none
v3.44.1,m6i.large,eu-central-1,false,8,131072,15.72,none
v3.44.1,m6i.large,eu-central-1,false,16,8192,16.54,none
v3.44.1,m6i.large,eu-central-1,false,1,2,6.06,none
v3.44.1,m6i.large,eu-central-1,true,20,33554432,884.42,none
v3.44.1,m6i.large,eu-central-1,true,8,131072,14.4,none
v3.44.1,m6i.large,eu-central-1,false,1,32768,6.45,none
v3.44.1,m6i.large,eu-central-1,false,2,2,6.7,none
v3.44.1,m6i.large,eu-central-1,false,4,8192,8.2,none
v3.44.1,m6i.large,eu-central-1,false,48,32768,52.89,none
v3.44.1,m6i.large,eu-central-1,true,64,32768,61.98,none
v3.44.1,m6i.large,eu-central-1,false,48,131072,86.27,none
v3.44.1,m6i.large,eu-central-1,true,8,8388608,92.06,none
v3.44.1,m6i.large,eu-central-1,true,64,8192,53.77,none
v3.44.1,m6i.large,eu-central-1,false,48,8192,43.76,none
v3.44.1,m6i.large,eu-central-1,false,64,8192,56.25,none
v3.44.1,m6i.large,eu-central-1,false,32,8192,29.58,none
v3.44.1,m6i.large,eu-central-1,true,4,8192,8.41,none
v3.44.1,m6i.large,eu-central-1,false,48,2,35.06,none
v3.44.1,m6i.large,eu-central-1,false,64,2,45.15,none
v3.44.1,m6i.large,eu-central-1,false,16,32768,19.48,none
v3.44.1,m6i.large,eu-central-1,true,48,131072,69.63,none
v3.44.1,m6i.large,eu-central-1,false,32,131072,52.94,none
v3.44.1,m6i.large,eu-central-1,false,8,2,10.19,none
v3.44.1,m6i.large,eu-central-1,true,2,131072,7.98,none
v3.44.1,m6i.large,eu-central-1,false,8,32768,12.26,none
v3.44.1,m6i.large,eu-central-1,false,32,32768,34.05,none
v3.44.1,m6i.large,eu-central-1,true,32,2,25.3,none
v3.44.1,m6i.large,eu-central-1,false,64,32768,71.12,none
v3.44.1,m6i.large,eu-central-1,false,2,131072,8.14,none
v3.44.1,m6i.large,eu-central-1,true,32,131072,45.6,none
v3.44.1,m6i.large,eu-central-1,true,16,2,15.22,none
v3.44.1,m6i.large,eu-central-1,false,16,2,14.82,none
v3.44.1,m6i.large,eu-central-1,true,64,2,44.9,none
v3.44.1,m6i.large,eu-central-1,true,4,2,8.09,none
v3.44.1,m6i.large,eu-central-1,false,4,2,7.85,none
v3.44.1,m6i.large,eu-central-1,false,4,32768,8.75,none
v3.44.1,m6i.large,eu-central-1,false,8,8192,10.68,none
v3.44.1,m6i.large,eu-central-1,true,1,2,6.07,none
v3.44.1,m6i.large,eu-central-1,true,2,32768,7.14,none
v3.44.1,m6i.large,eu-central-1,true,64,131072,100.09,none
v3.44.1,m6i.large,eu-central-1,true,2,2,6.67,none
v3.44.1,m6i.large,eu-central-1,true,1,8192,6.05,none
v3.44.1,m6i.large,eu-central-1,true,48,8192,40.8,none
v3.44.1,m6i.large,eu-central-1,false,32,2,24.85,none
v3.44.1,m6i.large,eu-central-1,true,16,131072,26.06,none
v3.44.1,m6i.large,eu-central-1,false,1,131072,6.95,none
v3.44.1,m6i.large,eu-central-1,false,4,131072,10.6,none
v3.44.1,m6i.large,eu-central-1,true,4,32768,8.87,none
v3.44.1,m6i.large,eu-central-1,false,8,8388608,120.0,none
v3.44.1,m6i.large,eu-central-1,true,8,2,10.44,none
v3.44.1,m6i.large,eu-central-1,true,1,131072,7.07,none
v3.44.1,m6i.large,eu-central-1,false,16,131072,25.02,none
v3.44.1,m6i.large,eu-central-1,true,2,8192,7.29,none
v3.44.1,m6i.large,eu-central-1,true,48,32768,47.96,none
v3.44.1,m6i.large,eu-central-1,false,2,32768,7.15,none
v3.44.1,m6i.large,eu-central-1,true,16,32768,18.62,none
v3.44.1,m6i.large,eu-central-1,true,8,8192,10.88,none
v3.44.1,m6i.large,eu-central-1,true,48,2,34.93,none
v3.44.1,m6i.large,eu-central-1,true,32,8192,28.18,none
v3.44.1,m6i.large,eu-central-1,true,4,131072,9.97,none
v3.44.1,m6i.large,eu-central-1,true,8,32768,12.1,none
v3.44.1,m6i.large,eu-central-1,false,20,8388608,399.23,none
v3.44.1,m6i.large,eu-central-1,true,4,8388608,29.42,none
v3.44.1,m6i.large,eu-central-1,false,12,16777216,324.02,none
v3.44.1,m6i.large,eu-central-1,true,16,8388608,176.07999999999998,none
v3.44.1,m6i.large,eu-central-1,true,20,8388608,243.94,none
v3.44.1,m6i.large,eu-central-1,true,4,25165824,73.18,none
v3.44.1,m6i.large,eu-central-1,false,12,8388608,145.99,none
v3.44.1,m6i.large,eu-central-1,false,16,16777216,581.98,none
v3.44.1,m6i.large,eu-central-1,true,16,16777216,534.84,none
v3.44.1,m6i.large,eu-central-1,false,4,8388608,31.03,none
v3.44.1,m6i.large,eu-central-1,true,16,25165824,733.16,none
v3.44.1,m6i.large,eu-central-1,false,16,25165824,1185.46,none
v3.44.1,m6i.large,eu-central-1,false,16,8388608,201.74,none
v3.44.1,m6i.large,eu-central-1,true,20,16777216,638.87,none
v3.44.1,m6i.large,eu-central-1,false,8,8388608,82.44,none
v3.44.1,m6i.large,eu-central-1,true,12,8388608,108.66,none
v3.44.1,m6i.large,eu-central-1,false,4,25165824,97.58,none
v3.44.1,m6i.large,eu-central-1,false,12,25165824,700.04,none
v3.44.1,m6i.large,eu-central-1,false,8,25165824,318.54,none
v3.44.1,m6i.large,eu-central-1,true,8,25165824,196.44,none
v3.44.1,m6i.large,eu-central-1,false,20,16777216,1096.49,none
v3.44.1,m6i.large,eu-central-1,true,12,16777216,229.71,none
v3.44.1,m6i.large,eu-central-1,true,8,8388608,62.98,none
v3.44.1,m6i.large,eu-central-1,true,8,16777216,134.45,none
v3.44.1,m6i.large,eu-central-1,true,12,25165824,466.57,none
v3.44.1,m6i.large,eu-central-1,false,4,16777216,54.73,none
v3.44.1,m6i.large,eu-central-1,false,8,16777216,165.65,none
v3.44.1,m6i.large,eu-central-1,true,4,16777216,43.44,none
v3.44.1,m6i.large,us-west-2,true,16,25165824,453.49,none
v3.44.1,m6i.large,us-west-2,false,8,25165824,230.95,none
v3.44.1,m6i.large,us-west-2,false,8,33554432,295.97,none
v3.44.1,m6i.large,us-west-2,true,4,33554432,88.8,none
v3.44.1,m6i.large,us-west-2,false,20,16777216,584.66,none
v3.44.1,m6i.large,us-west-2,false,16,8388608,354.13,none
v3.44.1,m6i.large,us-west-2,true,8,33554432,233.19,none
v3.44.1,m6i.large,us-west-2,true,16,16777216,322.35,none
v3.44.1,m6i.large,us-west-2,false,12,8388608,169.01,none
v3.44.1,m6i.large,us-west-2,true,4,8388608,26.68,none
v3.44.1,m6i.large,us-west-2,true,16,8388608,221.39,none
v3.44.1,m6i.large,us-west-2,false,8,16777216,163.57999999999998,none
v3.44.1,m6i.large,us-west-2,true,4,25165824,63.01,none
v3.44.1,m6i.large,us-west-2,false,8,8388608,96.77000000000001,none
v3.44.1,m6i.large,us-west-2,false,4,8388608,26.93,none
v3.44.1,m6i.large,us-west-2,false,12,16777216,262.38,none
v3.44.1,m6i.large,us-west-2,false,16,25165824,607.25,none
v3.44.1,m6i.large,us-west-2,true,8,16777216,129.77,none
v3.44.1,m6i.large,us-west-2,false,12,25165824,376.08,none
v3.44.1,m6i.large,us-west-2,true,20,16777216,450.04,none
v3.44.1,m6i.large,us-west-2,true,8,8388608,76.39,none
v3.44.1,m6i.large,us-west-2,false,4,25165824,80.81,none
v3.44.1,m6i.large,us-west-2,false,4,33554432,108.28999999999999,none
v3.44.1,m6i.large,us-west-2,true,4,16777216,47.51,none
v3.44.1,m6i.large,us-west-2,false,20,8388608,505.66,none
v3.44.1,m6i.large,us-west-2,true,20,8388608,300.13,none
v3.44.1,m6i.large,us-west-2,true,12,25165824,295.35,none
v3.44.1,m6i.large,us-west-2,false,20,25165824,865.84,none
v3.44.1,m6i.large,us-west-2,true,20,25165824,325.08,some
v3.44.1,m6i.large,us-west-2,true,8,25165824,180.0,none
v3.44.1,m6i.large,us-west-2,true,12,16777216,207.12,none
v3.44.1,m6i.large,us-west-2,false,16,16777216,403.42,none
v3.44.1,m6i.large,us-west-2,true,12,8388608,134.44,none
v3.44.1,m6i.large,us-west-2,true,12,33554432,,none
v3.44.1,m6i.large,us-west-2,false,4,16777216,55.47,none
v3.44.1,m6i.large,us-west-2,false,8,131072,6.12,none
v3.44.1,m6i.large,us-west-2,true,2,131072,3.72,none
v3.44.1,m6i.large,us-west-2,false,16,32768,8.25,none
v3.44.1,m6i.large,us-west-2,true,32,131072,24.11,none
v3.44.1,m6i.large,us-west-2,true,8,8192,4.88,none
v3.44.1,m6i.large,us-west-2,false,4,131072,4.79,none
v3.44.1,m6i.large,us-west-2,true,16,8192,7.46,none
v3.44.1,m6i.large,us-west-2,true,4,131072,4.61,none
v3.44.1,m6i.large,us-west-2,true,64,131072,53.82,none
v3.44.1,m6i.large,us-west-2,true,4,32768,4.17,none
v3.44.1,m6i.large,us-west-2,true,1,131072,3.34,none
v3.44.1,m6i.large,us-west-2,false,2,2,3.35,none
v3.44.1,m6i.large,us-west-2,true,20,33554432,884.42,none
v3.44.1,m6i.large,us-west-2,false,64,8192,20.11,none
v3.44.1,m6i.large,us-west-2,false,2,32768,3.72,none
v3.44.1,m6i.large,us-west-2,false,1,131072,3.4,none
v3.44.1,m6i.large,us-west-2,false,48,2,12.17,none
v3.44.1,m6i.large,us-west-2,false,16,8192,6.81,none
v3.44.1,m6i.large,us-west-2,false,8,8192,4.94,none
v3.44.1,m6i.large,us-west-2,true,8,8388608,92.06,none
v3.44.1,m6i.large,us-west-2,false,32,2,9.37,none
v3.44.1,m6i.large,us-west-2,false,32,32768,14.56,none
v3.44.1,m6i.large,us-west-2,true,1,8192,3.29,none
v3.44.1,m6i.large,us-west-2,true,8,131072,6.14,none
v3.44.1,m6i.large,us-west-2,true,32,32768,14.77,none
v3.44.1,m6i.large,us-west-2,false,8,2,4.43,none
v3.44.1,m6i.large,us-west-2,true,2,32768,3.74,none
v3.44.1,m6i.large,us-west-2,false,1,2,3.28,none
v3.44.1,m6i.large,us-west-2,true,1,32768,3.31,none
v3.44.1,m6i.large,us-west-2,false,16,131072,10.88,none
v3.44.1,m6i.large,us-west-2,true,48,131072,38.71,none
v3.44.1,m6i.large,us-west-2,true,4,2,3.74,none
v3.44.1,m6i.large,us-west-2,true,48,8192,15.92,none
v3.44.1,m6i.large,us-west-2,false,2,131072,3.77,none
v3.44.1,m6i.large,us-west-2,true,48,2,12.72,none
v3.44.1,m6i.large,us-west-2,false,64,131072,59.57,none
v3.44.1,m6i.large,us-west-2,true,64,32768,31.63,none
v3.44.1,m6i.large,us-west-2,true,16,131072,11.72,none
v3.44.1,m6i.large,us-west-2,false,16,2,6.25,none
v3.44.1,m6i.large,us-west-2,false,64,32768,30.11,none
v3.44.1,m6i.large,us-west-2,false,48,8192,16.19,none
v3.44.1,m6i.large,us-west-2,false,4,2,3.71,none
v3.44.1,m6i.large,us-west-2,true,1,2,3.28,none
v3.44.1,m6i.large,us-west-2,true,4,8192,4.05,none
v3.44.1,m6i.large,us-west-2,false,4,8192,4.05,none
v3.44.1,m6i.large,us-west-2,false,48,32768,20.67,none
v3.44.1,m6i.large,us-west-2,false,64,2,15.62,none
v3.44.1,m6i.large,us-west-2,false,1,8192,3.35,none
v3.44.1,m6i.large,us-west-2,true,16,2,6.05,none
v3.44.1,m6i.large,us-west-2,true,16,32768,8.14,none
v3.44.1,m6i.large,us-west-2,false,32,131072,21.78,none
v3.44.1,m6i.large,us-west-2,false,8,32768,5.27,none
v3.44.1,m6i.large,us-west-2,true,32,8192,11.53,none
v3.44.1,m6i.large,us-west-2,false,2,8192,3.56,none
v3.44.1,m6i.large,us-west-2,false,32,8192,10.94,none
v3.44.1,m6i.large,us-west-2,true,8,32768,5.71,none
v3.44.1,m6i.large,us-west-2,true,64,2,15.43,none
v3.44.1,m6i.large,us-west-2,true,32,2,9.48,none
v3.44.1,m6i.large,us-west-2,true,2,2,3.31,none
v3.44.1,m6i.large,us-west-2,false,8,8388608,120.0,none
v3.44.1,m6i.large,us-west-2,true,64,8192,24.31,none
v3.44.1,m6i.large,us-west-2,true,48,32768,23.71,none
v3.44.1,m6i.large,us-west-2,true,2,8192,3.61,none
v3.44.1,m6i.large,us-west-2,false,4,32768,4.23,none
v3.44.1,m6i.large,us-west-2,false,1,32768,3.73,none
v3.44.1,m6i.large,us-west-2,false,48,131072,38.08,none
v3.44.1,m6i.large,us-west-2,true,8,2,4.65,none
v3.44.1,m6i.large,compute-1,true,20,8388608,360.15,none
v3.44.1,m6i.large,compute-1,true,12,8388608,111.07,none
v3.44.1,m6i.large,compute-1,false,20,8388608,422.55,none
v3.44.1,m6i.large,compute-1,true,16,16777216,446.25,none
v3.44.1,m6i.large,compute-1,false,12,25165824,448.03,none
v3.44.1,m6i.large,compute-1,true,4,16777216,49.93,none
v3.44.1,m6i.large,compute-1,false,20,16777216,1059.46,none
v3.44.1,m6i.large,compute-1,false,4,25165824,85.96000000000001,none
v3.44.1,m6i.large,compute-1,false,12,16777216,369.38,none
v3.44.1,m6i.large,compute-1,true,20,25165824,549.25,none
v3.44.1,m6i.large,compute-1,false,12,8388608,169.06,none
v3.44.1,m6i.large,compute-1,false,20,25165824,,none
v3.44.1,m6i.large,compute-1,true,16,25165824,482.66,none
v3.44.1,m6i.large,compute-1,true,8,8388608,61.27,none
v3.44.1,m6i.large,compute-1,false,8,16777216,159.82,none
v3.44.1,m6i.large,compute-1,false,16,8388608,325.4,none
v3.44.1,m6i.large,compute-1,false,16,25165824,1021.68,none
v3.44.1,m6i.large,compute-1,true,8,25165824,188.95,none
v3.44.1,m6i.large,compute-1,true,4,8388608,24.41,none
v3.44.1,m6i.large,compute-1,false,16,16777216,419.48,none
v3.44.1,m6i.large,compute-1,true,12,25165824,299.74,none
v3.44.1,m6i.large,compute-1,true,20,16777216,592.84,none
v3.44.1,m6i.large,compute-1,false,8,25165824,244.64,none
v3.44.1,m6i.large,compute-1,true,16,8388608,220.48,none
v3.44.1,m6i.large,compute-1,false,4,8388608,26.05,none
v3.44.1,m6i.large,compute-1,true,12,16777216,295.14,none
v3.44.1,m6i.large,compute-1,true,8,16777216,155.75,none
v3.44.1,m6i.large,compute-1,true,4,25165824,70.85,none
v3.44.1,m6i.large,compute-1,false,4,16777216,59.35,none
v3.44.1,m6i.large,compute-1,false,8,8388608,72.23,none
v3.44.1,m6i.large,ap-northeast-1,true,8,25165824,198.48,none
v3.44.1,m6i.large,ap-northeast-1,false,4,25165824,86.88,none
v3.44.1,m6i.large,ap-northeast-1,false,12,25165824,564.08,none
v3.44.1,m6i.large,ap-northeast-1,false,4,16777216,54.07,none
v3.44.1,m6i.large,ap-northeast-1,false,12,16777216,399.59000000000003,none
v3.44.1,m6i.large,ap-northeast-1,true,12,16777216,317.35,none
v3.44.1,m6i.large,ap-northeast-1,false,20,8388608,368.96,none
v3.44.1,m6i.large,ap-northeast-1,false,16,16777216,597.8,none
v3.44.1,m6i.large,ap-northeast-1,true,20,16777216,692.16,none
v3.44.1,m6i.large,ap-northeast-1,false,16,8388608,239.52,none
v3.44.1,m6i.large,ap-northeast-1,false,8,25165824,293.81,none
v3.44.1,m6i.large,ap-northeast-1,true,4,16777216,40.46,none
v3.44.1,m6i.large,ap-northeast-1,true,12,25165824,428.92,none
v3.44.1,m6i.large,ap-northeast-1,true,12,8388608,98.27000000000001,none
v3.44.1,m6i.large,ap-northeast-1,true,4,8388608,25.21,none
v3.44.1,m6i.large,ap-northeast-1,false,8,16777216,181.48,none
v3.44.1,m6i.large,ap-northeast-1,false,12,8388608,140.06,none
v3.44.1,m6i.large,ap-northeast-1,true,4,25165824,66.93,none
v3.44.1,m6i.large,ap-northeast-1,false,8,8388608,67.03,none
v3.44.1,m6i.large,ap-northeast-1,false,20,16777216,1110.18,none
v3.44.1,m6i.large,ap-northeast-1,false,4,8388608,26.55,none
v3.44.1,m6i.large,ap-northeast-1,true,16,25165824,636.26,none
v3.44.1,m6i.large,ap-northeast-1,true,8,16777216,153.8,none
v3.44.1,m6i.large,ap-northeast-1,true,8,8388608,58.31,none
v3.44.1,m6i.large,ap-northeast-1,true,16,16777216,466.1,none
v3.44.1,m6i.large,ap-northeast-1,true,16,8388608,180.92,none
v3.44.1,m6i.large,ap-northeast-1,false,16,25165824,1051.8,none
v3.44.1,m6i.large,ap-northeast-1,true,20,8388608,303.59,none
v3.44.1,m6i.large,ap-northeast-1,false,64,8192,45.93,none
v3.44.1,m6i.large,ap-northeast-1,true,8,32768,10.07,none
v3.44.1,m6i.large,ap-northeast-1,false,32,32768,27.95,none
v3.44.1,m6i.large,ap-northeast-1,false,8,8192,9.01,none
v3.44.1,m6i.large,ap-northeast-1,false,1,2,5.21,none
v3.44.1,m6i.large,ap-northeast-1,false,48,32768,45.71,none
v3.44.1,m6i.large,ap-northeast-1,true,4,8192,7.13,none
v3.44.1,m6i.large,ap-northeast-1,true,48,8192,33.44,none
v3.44.1,m6i.large,ap-northeast-1,true,32,32768,28.57,none
v3.44.1,m6i.large,ap-northeast-1,true,48,2,27.83,none
v3.44.1,m6i.large,ap-northeast-1,true,2,2,5.79,none
v3.44.1,m6i.large,ap-northeast-1,false,32,2,20.02,none
v3.44.1,m6i.large,ap-northeast-1,false,2,8192,6.03,none
v3.44.1,m6i.large,ap-northeast-1,false,8,32768,10.1,none
v3.44.1,m6i.large,ap-northeast-1,true,8,2,8.65,none
v3.44.1,m6i.large,ap-northeast-1,true,32,131072,37.16,none
v3.44.1,m6i.large,ap-northeast-1,true,4,2,6.83,none
v3.44.1,m6i.large,ap-northeast-1,false,48,131072,71.72,none
v3.44.1,m6i.large,ap-northeast-1,true,20,33554432,884.42,none
v3.44.1,m6i.large,ap-northeast-1,true,2,131072,6.66,none
v3.44.1,m6i.large,ap-northeast-1,true,48,131072,58.75,none
